# Haddock
 1979 2014 1979 2014 1 5 14 2 0
#Landaður afli
 29 179 552  889 1159 1767 2612 2917 3132 3734 4142 5574 4000 1648
 36 190 490 1056 1437 1509 2169 2765 3300 4715 3849 4000 4000 4000
 67 172 475  889 1460 1949 2137 1990 3709 4078 4551 4479 5358 4000
 40 230 412  801 1268 1873 3139 2343 3301 3289 4157 5295 5313 4000
 34 176 556  807 1282 1690 2454 3236 2942 3957 3146 2827 4000 5249
 40 153 448  920 1188 1564 2128 2808 2550 2755 4053 4019 4158 4000
 33 127 333  736 1145 1512 1944 2232 3272 3617 3566 4000 4000 4000
 48 170 350  615 1053 1514 1786 2073 2198 2408 3360 2303 3338 5082
 27 179 382  595  868 1295 1828 2201 2340 2568 2840 2727 4000 4000
 29 139 442  687  882 1141 1495 1920 2574 3070 3016 3488 4000 4000
 32 150 392  773  942 1190 1468 1829 2086 2730 3016 3488 4000 4000
 35 175 442  757 1129 1304 1583 1865 2107 3094 2398 4146 4000 4000
 28 202 482  801 1145 1480 1909 2072 2353 2350 2207 3211 3054 4000
 33 201 589  967 1312 1710 1999 2265 2764 2709 2529 2885 1788 3352 # real data for oldest
 36 222 570 1005 1372 1751 2141 2298 2653 3104 3153 3162 4000 3582
 32 255 614 1073 1637 1926 2452 2774 3170 3173 3577 3356 4000 3718
# Forecast
 32 184 609 1117 1643 2200 2461 2908 3167 3472 3475 3775 3612 4078
 32 182 486 1111 1689 2205 2698 2915 3272 3470 3698 3700 3918 3800
 32 187 482  950 1683 2248 2702 3106 3277 3549 3696 3863 3864 4019


# selection
 0.045 0.257 0.545 0.794 0.871 0.989 1 1  1  1  1  1  1
 0.005 0.253 0.571 0.796 0.933 0.991 1 1  1  1  1  1  1
 0.004 0.178 0.567 0.810 0.935 1.000 1 1  1  1  1  1  1
 0.006 0.175 0.471 0.808 0.944 1.000 1 1  1  1  1  1  1

#Natm
0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.4 0.5
#MeanSel
0.021 0.161 0.501 0.832 1 1 1 1 1 1 1 1 1
# Survey data
1985 2015
#ages for survey
 1 11
#data
#   1   2   3   4   5      6     7     8    9   10 11
28.14 32.68 18.33 23.58 26.39 3.7 10.86 4.8 5.54 0.49 0.11
123.87 108.48 58.97 12.79 16.31 13.13 0.97 2.72 1.23 2.27 0.09
21.82 338.29 147.5 44.15 7.68 7.47 4.72 0.39 0.61 0.44 0.82
15.77 40.73 184.79 88.87 22.86 1.34 2.19 1.77 0.16 0.22 0.01
10.58 23.33 41.16 146.61 45.09 12.91 0.84 0.83 0.41 0.28 0.13
70.48 31.8 26.73 38.84 92.82 30.89 3.44 0.9 0.23 0 0
89.73 145.95 41.43 17.73 20.19 32.85 7.63 0.3 0.1 0.08 0
18.15 211.43 137.77 35.38 16.91 13.77 16.32 2.22 0.18 0.07 0
29.99 37.8 244.96 87.19 11.23 3.85 1.66 4.46 0.88 0 0
58.54 61.34 39.83 142.35 42.18 6.9 2.87 1.42 4.44 0.17 0
35.89 82.47 47.03 19.75 69.52 7.66 1.31 0.11 0.34 0 0
95.32 66.31 119.96 36.81 19.58 40.7 5.84 0.62 0.13 0.12 0
8.6 119.35 50.81 53.33 10.88 7.37 10.9 1.35 0.07 0.03 0.07
23.08 18 107.93 28.23 23.49 4.9 3.54 4.56 0.33 0 0
80.73 85.46 25.53 98.73 12.99 9.85 1.42 1.77 1.03 0.09 0
60.58 90.07 44.63 8.45 25.22 3.14 1.59 0.4 0.15 0.52 0.04
81.27 147.71 115.4 22.15 4.09 10.63 0.93 0.57 0 0.1 0
20.75 298.67 200.74 112.49 23.24 3.51 7.49 0.31 0.3 0.08 0.15
111.64 97.55 282.49 244.86 113.46 18.01 2.57 4.49 0.48 0.85 0.07
325.9 291.65 70.75 208.74 109.33 33.96 6.79 1.24 0.82 0 0.16
57.94 698.32 289.36 44.58 157.19 57.51 15.72 3.35 0.32 0.25 0.02
39.29 88.69 575.93 179.11 19.13 62.94 16.43 6.74 0.7 0.29 0
34 65.6 88.63 436.41 85.68 7.9 21.6 4.74 2.15 0.07 0
88.53 68.05 71.7 75.57 222.79 29.99 3.53 7.47 1.64 0.27 0
10.46 111.21 53.82 41.48 41.91 105.64 12.94 2.23 3.11 0.44 0.23
15.15 27.71 138.2 29.95 18.28 20.59 31.59 2.92 0.46 0.69 0.12
8.79 27.65 24.75 77.43 14.03 5.9 9.4 14.89 1.22 0.31 0.23
12.47 14.90 31.27 27.22 58.30  5.23 2.92 5.30 6.87 0.80 0.26
13.91 23.32 19.72 22.90 22.51 41.93 4.78 2.49 3.86 4.52 0.59
14.01 24.78 30.27 17.74 16.44 14.79 16.44 1.33 1.05 1.68 1.42
62.58 19.59 26.56 34.23 12.58 11.18  9.63 9.96 1.14 0.56 1.16

# Afli í tonnum lítið staðalfrávik
# Prop of F and Prop of M before survey
 0.2 0.2
# age with constant and full catchability, relationship.

 2 9 1

# Ratios of sigmaeffort to SigmaC not used in adapt
2 1.5 1 1 0.7 0.5 0.2 0.2 1 1 1 1 1
# sigmatotalcatch  Afli í tonnum lítið staðalfrávik
# 20.05
  0.05
# Sigmasurvey guess
 0.33 0.32 0.24 0.29 0.27 0.40 0.46 0.45 0.5 0.6 0.7
# Survey epsilon
 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1
# Survey 2

# Survey data
1996 2014
#ages for survey
 1 9
#data
#  1      2       3       4     5     6     7    8    9
 460.87 109.75  85.78  18.49   7.80 18.26  1.55 0.00 0.00
  32.39 212.86  54.46  38.68   7.04  5.73  6.07 0.28 0.00
  81.08  32.49 133.40  19.83  15.75  5.33  5.36 1.90 0.00
 397.44  66.87  28.61  97.12  11.88 10.39  0.52 2.10 0.31
 162.34 260.10  45.84   8.24  28.71  1.97  3.20 0.08 0.27
 386.99 282.10 170.25  35.69   4.06 13.92  0.72 1.01 0.00
  85.19 237.78 197.49  98.45  19.33  2.96  2.33 1.01 0.08
 343.80 147.83 252.45 169.19  56.68  9.49  2.43 0.66 0.00
 713.02 348.50  51.24 160.31  70.61 17.04  3.99 0.82 0.51
  74.20 560.35 182.10  27.30  96.52 26.73 10.37 1.88 0.00
 124.13 117.57 510.38 108.53  13.82 40.39  9.77 3.92 1.52
  93.77  78.47  92.82 340.57  58.67  8.48 12.39 3.83 0.57
 201.84  93.90  68.36  87.88 198.94 16.80  2.87 3.47 0.22
  47.55 269.51  68.15  30.99  48.55 96.83  9.53 1.49 2.19
  43.29  56.59 143.39  30.56  14.44 23.72 37.23 4.75 0.87
 -1      -1    -1       -1     -1   -1    -1    -1   -1
  53.76  29.08  34.27  37.73  70.51  9.30  3.59 9.96 10.53
  91.94 131.36  37.32  38.58  39.41 45.11  6.30 2.33  5.89
  35.06  41.27  67.34  24.12  27.19 24.45 26.31 2.30  1.49 #2014

# Afli í tonnum lítið staðalfrávik
# Prop of F and Prop of M before survey
0.8 0.8
# age with constant and full catchability, relationship.
2  8 1
# Sigmasurvey guess
 0.33 0.32 0.24 0.29 0.27 0.40 0.46 0.5 0.7
# Survey epsilon
 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1
# Catch eps
 100 100 100 100 100 100 100 100  100 100 100 100 100
# SSBRectype BEV holt = 1  Ricker = 2 SpawnCv SSBcorr SSBpow pF pM minssbage
6 0.5 0.15 0.0 0.0 0.0 2
# migrations no migrations but must be 1.
1
1960
6
# Likeliweights
0.25 1 1 1 0.25 1 1 1 1 1
#Catchrule       CvAssessment Assessmentcorr PowerAssessmentCV  AssessmentBias
        3           0.2          0.2            0                 1
# Harvest Proportions   #Future  quotaleft	NextYearsTac
       0.4  0.3	       		 20		  0
# Future catch
35 40 30 30 30 30 30 30 30
